,test_loss,test_accuracy,execution_time (minutes)
SVC,3.278120184899846,54.00616332819723,0.7601831316947937
Random Forest,4.02542372881356,47.68875192604006,0.8161973039309184
AdaBoost,8.153697996918336,16.87211093990755,2.651219137509664
Logistic Regression,3.3640215716486903,52.88906009244992,0.0321581403414408
K-Nearest Neighbors,5.012711864406779,41.29429892141757,0.0089774092038472
Decision Tree,5.632511556240369,34.707241910631744,0.1399975339571635
Gaussian Naive Bayes,12.025808936825886,10.670261941448382,0.0050232450167338
Linear Discriminant Analysis,3.2484591679506933,54.16024653312789,0.031309155623118
BertForSequenceClassification,0.602323896006534,84.01015228426395,57.01449687083562
LinearEssayScoringModel,5.032861308047646,79.78003384094755,1.0177398721377056
LinearLayersEssayScoringModel,1.0904727107600163,57.69881556683587,4.393015682697296
CNNEssayScoringModel,4.69016546952097,79.69543147208122,6.685515511035919
LSTMEssayScoringModel,2.0396690933327926,50.08460236886633,2.8593915859858194
AttentionLinearLayersEssayScoringModel,0.997062927798221,60.23688663282572,9.397402993837993
